baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000131386,23832.7098681787,-1.51052865380089,0.253020376674904,-5.9699881632131,2.37270800624312e-09,3.22613557888237e-07,Not Significant
ENSG00000171793,951.118460980769,-1.6902528087003,0.284452952304024,-5.94211729922127,2.81363961004936e-09,3.76635106870794e-07,Not Significant
ENSG00000128699,3637.98046299756,-1.10522331133647,0.186094596056278,-5.93904033087683,2.86695337174729e-09,3.8081962171794e-07,Not Significant
ENSG00000183044,789.153497269663,-1.22610110332541,0.206982895836627,-5.92368320275693,3.14809649636812e-09,4.14971987017441e-07,Not Significant
ENSG00000108604,3248.08867952477,-1.37753737119134,0.232960254633222,-5.9131862358245,3.35552408169431e-09,4.38963559414374e-07,Not Significant
ENSG00000008311,2099.21177013152,-1.07702149905651,0.182992249884243,-5.88561264063264,3.96582175020449e-09,5.11058283451725e-07,Not Significant
ENSG00000163661,14869.2884537892,-1.99474848542359,0.341457165067724,-5.84187034127095,5.16179759593151e-09,6.55396477106951e-07,Not Significant
ENSG00000143878,6346.15575949826,-1.19094108192824,0.205181297040815,-5.80433547844925,6.46217764786458e-09,8.0861509871975e-07,Not Significant
ENSG00000070404,3171.55000404647,-1.87798130665505,0.325371982315201,-5.77179784593678,7.84301755991046e-09,9.34022256720922e-07,Not Significant
ENSG00000174306,5736.97361949815,-1.07292215049001,0.18593652642128,-5.77036783003609,7.9098684246534e-09,9.35531561348733e-07,Not Significant
ENSG00000003402,4288.14075684081,-1.17422315163278,0.203828018385998,-5.76085251149869,8.36901466851641e-09,9.8310302922409e-07,Not Significant
ENSG00000128311,542.03311447539,-1.30822794141252,0.227582251958724,-5.74837418187507,9.010565846959e-09,1.04425806070663e-06,Not Significant
ENSG00000077254,4010.01403300691,-1.00368871755442,0.176146447542455,-5.69803553553082,1.21195793686206e-08,1.35019933249897e-06,Not Significant
ENSG00000163697,3832.33851554214,-1.09154694545364,0.191801760397653,-5.69101630345098,1.26285447997339e-08,1.39788276667824e-06,Not Significant
ENSG00000246430,4353.97230955973,-1.87534214312945,0.330862453050991,-5.66804158597116,1.44438913575596e-08,1.58864405071553e-06,Not Significant
ENSG00000183570,322.825807100658,-1.60695810199987,0.283764346785473,-5.66300213611661,1.487473072894e-08,1.61545188822224e-06,Not Significant
ENSG00000140545,13092.2776605833,-1.23535130429988,0.218421538879757,-5.65581265765162,1.55110585680855e-08,1.67403099596063e-06,Not Significant
ENSG00000145390,13905.6641516294,-2.46579131071687,0.436583395506786,-5.64792737445862,1.6239374878074e-08,1.7417486049353e-06,Not Significant
ENSG00000196850,915.870908796415,-1.30690837859934,0.231811293917786,-5.63781149965386,1.72224880029225e-08,1.83578964712634e-06,Not Significant
ENSG00000130066,5291.43346618156,-1.39137484853949,0.246949305435389,-5.63425293335568,1.75818818602826e-08,1.86260083413104e-06,Not Significant
ENSG00000249364,35.6829717940705,-8.85570908216711,1.57266486090559,-5.63102114271678,1.79145762153747e-08,1.88627379321396e-06,Not Significant
ENSG00000169764,4709.83705057015,-1.04881880182457,0.188483072593365,-5.56452517137862,2.62867184990466e-08,2.701899137152e-06,Not Significant
ENSG00000141401,981.158136827887,-2.12099180403466,0.381504202626259,-5.55955029966601,2.70470640887454e-08,2.76360179103229e-06,Not Significant
ENSG00000256235,1867.24335655975,-1.10544915738758,0.199769713660003,-5.53361736939258,3.13692901904129e-08,3.18638178240029e-06,Not Significant
ENSG00000137265,407.485971261669,-1.65730523937433,0.299727880268277,-5.52936629682542,3.2138964261181e-08,3.22660252826787e-06,Not Significant
ENSG00000187498,2333.31313581996,-1.35093590942479,0.245174484246178,-5.51009993384271,3.58630031497287e-08,3.51864964994043e-06,Not Significant
ENSG00000170775,387.494677019586,-1.36993207879744,0.249875602990734,-5.48245631986824,4.19460587932476e-08,4.04650582816648e-06,Not Significant
ENSG00000168646,556.428573940981,-1.3297787000937,0.243946889102351,-5.45109923306206,5.00594259131755e-08,4.74959432235557e-06,Not Significant
ENSG00000123562,9074.73778840068,-1.0237517036859,0.188194948088177,-5.4398468932664,5.33263797795154e-08,5.03191216411296e-06,Not Significant
ENSG00000020577,4955.48848430328,-1.15235826814405,0.212545313641373,-5.42170631006438,5.90328131843554e-08,5.51015469225648e-06,Not Significant
ENSG00000182552,455.285717324322,-1.28052602962034,0.236777763358271,-5.40813466373853,6.36845348221295e-08,5.91239003929318e-06,Not Significant
ENSG00000083290,2104.91915052674,-1.24390450648492,0.231074145069903,-5.38314014364791,7.31975032875504e-08,6.72326854664585e-06,Not Significant
ENSG00000131831,2031.24034970545,-1.48001755729097,0.275521927448988,-5.37168700507509,7.80034171258327e-08,7.12678839644909e-06,Not Significant
ENSG00000163378,2477.74851379279,-1.33182705517165,0.248956935736298,-5.34962824487184,8.81350875251753e-08,7.92664943429546e-06,Not Significant
ENSG00000158246,120.061314166931,-2.24243397569185,0.421628979265865,-5.31850059167268,1.04625880038229e-07,9.31278194072238e-06,Not Significant
ENSG00000019995,1298.11151966541,-1.05034528667697,0.197857546935516,-5.30859349539643,1.10474412577301e-07,9.78293413530684e-06,Not Significant
ENSG00000153207,1421.03281809023,-1.54604195891664,0.294284583618759,-5.25356082165526,1.49186378262545e-07,1.30108605042304e-05,Not Significant
ENSG00000110756,1425.68696322009,-1.5671341405163,0.299917754437203,-5.22521297032593,1.73954772141439e-07,1.50192550266918e-05,Not Significant
ENSG00000213639,7684.92049802535,-1.18133474002839,0.227164732379322,-5.20034394271988,1.9892007811381e-07,1.69209453638881e-05,Not Significant
ENSG00000163251,109.381416506643,-2.38735673135562,0.460192547660149,-5.18773444614465,2.12867852478095e-07,1.80186376303517e-05,Not Significant
ENSG00000185813,659.183850316556,-1.16353766202031,0.224434296511462,-5.18431309343526,2.16812448579461e-07,1.82630115222933e-05,Not Significant
ENSG00000270885,232.316905089304,-1.68876504583642,0.328585307699028,-5.1395026078989,2.75466669188447e-07,2.27596097777325e-05,Not Significant
ENSG00000127954,872.110941524121,-5.46764867776617,1.06694445743643,-5.12458604537241,2.98192149785201e-07,2.44613799497057e-05,Not Significant
ENSG00000197769,210.140925409557,-1.95628673640012,0.382900960664247,-5.10911942609495,3.23663730176564e-07,2.63633268523062e-05,Not Significant
ENSG00000243244,1753.44426938487,-1.36280530284223,0.266836535413375,-5.10726651704952,3.26852585241905e-07,2.64980771922874e-05,Not Significant
ENSG00000166825,5486.31218820662,-1.19021699501314,0.233099762068596,-5.10604122651524,3.28977946682727e-07,2.65457531930716e-05,Not Significant
ENSG00000140807,494.039176416537,-2.2108729762739,0.433442036241047,-5.10073502664238,3.38336954900869e-07,2.71739652894335e-05,Not Significant
ENSG00000134243,7913.53789392437,-2.09617031968455,0.412014716224904,-5.08761031375474,3.62603474701739e-07,2.89881333386557e-05,Not Significant
ENSG00000154262,4682.54374713249,-1.09070762543254,0.21493171556573,-5.07467044852662,3.88168147566637e-07,3.07471906980766e-05,Not Significant
ENSG00000169738,695.042914311576,-1.89849044403795,0.375296753433054,-5.05863806886515,4.22261455910649e-07,3.28450937867797e-05,Not Significant
ENSG00000087448,1620.92474541967,-1.06353684750858,0.21029757968241,-5.05729475876386,4.25245697751192e-07,3.29288910707066e-05,Not Significant
ENSG00000159167,770.260718695848,-1.36339299958447,0.269854038011459,-5.05233499424819,4.36441354517817e-07,3.36449522759538e-05,Not Significant
ENSG00000197301,369.478782699901,-2.298505169692,0.456054733714719,-5.03997656371179,4.65588858216514e-07,3.54175700602765e-05,Not Significant
ENSG00000118689,6442.45795009686,-1.22090879528283,0.243083029490673,-5.02259988219241,5.09766713566827e-07,3.84395266806636e-05,Not Significant
ENSG00000145569,54.6730278563317,-2.78683257183624,0.554975777156714,-5.02153911313736,5.12590626505088e-07,3.84844127760429e-05,Not Significant
ENSG00000226121,1277.96707421683,-1.38263354514039,0.275639111077694,-5.01610072581706,5.27306914244625e-07,3.92604542723061e-05,Not Significant
ENSG00000144724,4261.67033908468,-1.03874460349275,0.20754904489215,-5.00481514637912,5.59156631709854e-07,4.14399859071492e-05,Not Significant
ENSG00000147119,890.986285698617,-1.36307846487521,0.274611591737891,-4.96365960463981,6.91771426736276e-07,5.04029915480254e-05,Not Significant
ENSG00000177666,2815.57852445304,-1.00580801097055,0.202753043572904,-4.96075419261904,7.02200048030635e-07,5.09478589470294e-05,Not Significant
ENSG00000168994,2195.72336492747,-1.41238317167365,0.285731161568273,-4.94304913724356,7.69100890643586e-07,5.5336809081806e-05,Not Significant
ENSG00000177283,202.868812993777,-2.1979309306571,0.445174220379184,-4.93723767019792,7.92368837889442e-07,5.65397731102268e-05,Not Significant
ENSG00000137672,1025.90731759306,-1.77604597434131,0.360765469882,-4.92299325354564,8.52303920160014e-07,5.98275776151346e-05,Not Significant
ENSG00000187134,12249.612941771,-1.25410608064207,0.255421149816993,-4.90995393897738,9.1097788118772e-07,6.36873119528322e-05,Not Significant
ENSG00000149218,3323.13632646322,-1.79951101357377,0.36807242736295,-4.88901335660032,1.01342620330186e-06,6.97204927434923e-05,Not Significant
ENSG00000119139,253.833180622653,-1.82238863072487,0.373536517763365,-4.87874289142287,1.06764128844562e-06,7.30354238958395e-05,Not Significant
ENSG00000070540,4152.50618742108,-1.00356090634194,0.2057196146378,-4.87829470276258,1.07006962275002e-06,7.30354238958395e-05,Not Significant
ENSG00000172465,785.487286955953,-1.11746161327397,0.229194531918632,-4.87560328738861,1.08476418555984e-06,7.37468817175094e-05,Not Significant
ENSG00000104687,1624.04611945142,-1.02516096027201,0.210569182096393,-4.86852325713416,1.12435292063992e-06,7.52532024558533e-05,Not Significant
ENSG00000167641,253.316321835562,-2.55627573425758,0.52503752478663,-4.86874863905476,1.1230715217487e-06,7.52532024558533e-05,Not Significant
ENSG00000221869,3144.8211258767,-1.3347480531484,0.274211284555799,-4.86758980510445,1.12967501620719e-06,7.53174833199448e-05,Not Significant
ENSG00000159212,1361.22930188521,-1.20645046374542,0.247950820034367,-4.86568450783186,1.14061344400255e-06,7.57542805809077e-05,Not Significant
ENSG00000168621,244.860528861465,-1.79475690643737,0.369020782342737,-4.86356593534735,1.15289595863239e-06,7.60426763486782e-05,Not Significant
ENSG00000126803,591.75974771122,-2.211903867049,0.45480446815441,-4.86341718678552,1.15376309956878e-06,7.60426763486782e-05,Not Significant
ENSG00000226950,362.983407131084,-1.32171043307033,0.272057252765246,-4.85820693856235,1.18453571986772e-06,7.77740030824178e-05,Not Significant
ENSG00000107438,4402.1042522368,-1.02146294245331,0.210453201586105,-4.85363460738508,1.21218995199839e-06,7.87201772077625e-05,Not Significant
ENSG00000161647,219.198288024375,-1.45502422372272,0.29986545762347,-4.85225685964049,1.220643869465e-06,7.87201772077625e-05,Not Significant
ENSG00000079691,1655.5796767407,-1.10454450934135,0.230745577300798,-4.78685018478805,1.69419203653754e-06,0.000105997493068588,Not Significant
ENSG00000267669,90.8361090430498,-1.96981310862085,0.411615234445613,-4.78556900663287,1.7050359033014e-06,0.00010629083024624,Not Significant
ENSG00000168556,554.700999609996,-1.46000462599141,0.305693343145286,-4.77604324310561,1.7877796393731e-06,0.000111048125225521,Not Significant
ENSG00000127324,31.827632999667,-3.52991633567473,0.743706651002987,-4.7463826374474,2.07086791577748e-06,0.00012635953063479,Not Significant
ENSG00000154856,3357.51622186372,-2.09642124504088,0.442617793145504,-4.73641430034358,2.17532665992717e-06,0.000131341051621057,Not Significant
ENSG00000165507,29017.2058343015,-1.55121773145644,0.328674495938066,-4.7196169785828,2.3628913397192e-06,0.000140697957428521,Not Significant
ENSG00000197312,825.226190572145,-1.27882706309754,0.271133193557292,-4.71660089389725,2.39817467715311e-06,0.000142149846006445,Not Significant
ENSG00000136546,7202.79324434126,-1.29317910334696,0.275306165973345,-4.69723988482032,2.63700683063889e-06,0.000153837276863082,Not Significant
ENSG00000261468,62.4831408799664,-2.93477736452083,0.626091179912496,-4.68746000371863,2.76616739212365e-06,0.000160289189688561,Not Significant
ENSG00000162493,2440.62897998081,-1.92675056161548,0.411293198833374,-4.68461566366932,2.80485742634115e-06,0.000161987551966752,Not Significant
ENSG00000096968,1154.91297757232,-1.0198988444007,0.217990043437909,-4.67864875072243,2.88771638541535e-06,0.000166216955144507,Not Significant
ENSG00000205364,82.3030423644273,-2.20711899890057,0.47202137729405,-4.67588779888166,2.92684609713988e-06,0.000167353570878846,Not Significant
ENSG00000128923,2369.7176890832,-1.05708133690925,0.226321232262608,-4.67071218348033,3.00157256200177e-06,0.000169938213116874,Not Significant
ENSG00000271711,230.654289063271,-1.61754362761396,0.348501689022799,-4.64142263456331,3.46018575254295e-06,0.000193367273705216,Not Significant
ENSG00000177674,1406.31589700584,-1.0400777350165,0.225453455379378,-4.61327032343031,3.96382231298229e-06,0.000217984979938147,Not Significant
ENSG00000181826,618.340319094888,-1.19004776602936,0.257945521174802,-4.61356243213425,3.95825292779916e-06,0.000217984979938147,Not Significant
ENSG00000170873,1248.01408300949,-1.91531155541633,0.415782581663704,-4.60652186956086,4.09460015810458e-06,0.000224462081048095,Not Significant
ENSG00000134294,31441.7473420679,-1.27927969112782,0.278298163899469,-4.59679529754262,4.29038756205296e-06,0.000232976139690348,Not Significant
ENSG00000084090,5915.09340269569,-1.43619914324199,0.312524459404989,-4.59547756990398,4.31759238766829e-06,0.000233718449373843,Not Significant
ENSG00000164104,1498.9493488382,-1.35416189836345,0.294765191558978,-4.59403598912562,4.34754349479117e-06,0.000234604315837668,Not Significant
ENSG00000071282,7179.79621344306,-1.36030298140179,0.296921994577263,-4.58134798447148,4.61988363994846e-06,0.000246984986670681,Not Significant
ENSG00000102804,8388.49493697022,-1.2326047497577,0.269197239135568,-4.57881646080685,4.67614282497428e-06,0.000249221093523629,Not Significant
ENSG00000196136,175.071530142767,-2.1819876457677,0.477254899726552,-4.57195441475381,4.83196072518232e-06,0.000255945698780516,Not Significant
ENSG00000167772,867.586348617862,-1.45636411645166,0.31902626974242,-4.56502882232089,4.99425718815885e-06,0.000263733434633416,Not Significant
ENSG00000119711,952.37739230875,-1.28889240546728,0.282769278846887,-4.55810620843712,5.1616935057199e-06,0.000271744278831619,Not Significant
ENSG00000099860,602.716815759949,-1.22597733743928,0.269463069161411,-4.54970449662956,5.37213038552615e-06,0.000281963366253087,Not Significant
ENSG00000211445,23010.5089668566,-3.90143396721671,0.863533294920537,-4.51798904589512,6.24297131429321e-06,0.00032249308590034,Not Significant
